"abspos","chromosome_name","start_position","end_position","ensembl_gene_id","hgnc_symbol","band"
1459923,1,1449689,1470158,"ENSG00000215915","ATAD3C","p36.33"
1484808,1,1471769,1497848,"ENSG00000160072","ATAD3B","p36.33"
1506351,1,1503250,1509452,"ENSG00000284740","RP5-832C2.8","p36.33"
1523419,1,1512151,1534687,"ENSG00000197785","ATAD3A","p36.33"
1537813,1,1535174,1540453,"ENSG00000205090","TMEM240","p36.33"
1558271,1,1541673,1574869,"ENSG00000160075","SSU72","p36.33"
1576025,1,1574975,1577075,"ENSG00000215014","RP5-832C2.5","p36.33"
1583709,1,1583510,1583909,"ENSG00000274481","RP11-345P4.11","p36.33"
1599054,1,1598012,1600096,"ENSG00000228594","C1orf233","p36.33"
1614776,1,1613758,1615795,"ENSG00000272106","RP11-345P4.9","p36.33"
1623012,1,1615415,1630610,"ENSG00000197530","MIB2","p36.33"
1633679,1,1632095,1635263,"ENSG00000189409","MMP23B","p36.33"
1647119,1,1635227,1659012,"ENSG00000248333","CDK11B","p36.33"
1660963,1,1659325,1662602,"ENSG00000272004","RP11-345P4.10","p36.33"
1676128,1,1659529,1692728,"ENSG00000189339","SLC35E2B","p36.33"
1673193,1,1671990,1674397,"ENSG00000269737","RP11-345P4.6","p36.33"
1700862,1,1699942,1701782,"ENSG00000215914","MMP23A","p36.33"
1713527,1,1702730,1724324,"ENSG00000008128","CDK11A","p36.33"
1720212,1,1702736,1737688,"ENSG00000268575","RP1-283E3.8","p36.33"
1730881,1,1724512,1737251,"ENSG00000227775","RP1-283E3.4","p36.33"
1735418,1,1724838,1745999,"ENSG00000215790","SLC35E2","p36.33"
1765844,1,1751232,1780457,"ENSG00000008130","NADK","p36.33"
1838201,1,1785285,1891117,"ENSG00000078369","GNB1","p36.33"
1892064,1,1891471,1892658,"ENSG00000231050","RP1-140A9.1","p36.33"
1916061,1,1914827,1917296,"ENSG00000169885","CALML6","p36.33"
1918431,1,1917590,1919273,"ENSG00000178821","TMEM52","p36.33"
1962894,1,1921951,2003837,"ENSG00000142609","CFAP74","p36.33"
2014371,1,2013213,2015530,"ENSG00000233542","RP11-547D24.1","p36.33"
2025028,1,2019298,2030758,"ENSG00000187730","GABRD","p36.33"
2049636,1,2049203,2050070,"ENSG00000226969","RP11-547D24.3","p36.33"
2117932,1,2050470,2185395,"ENSG00000067606","PRKCZ","p36.33"
2143181,1,2141084,2145279,"ENSG00000271806","RP5-892K4.1","p36.33"
2183091,1,2181794,2184389,"ENSG00000182873","RP11-181G12.2","p36.33"
2198590,1,2184461,2212720,"ENSG00000162585","FAAP20","p36.33"
2216630,1,2212523,2220738,"ENSG00000234396","RP11-181G12.4","p36.33"
2269407,1,2228695,2310119,"ENSG00000157933","SKI","p36.33"
2356480,1,2321253,2391707,"ENSG00000116151","MORN1","p36.32"
2326447,1,2326201,2326693,"ENSG00000272161","RP4-713A8.1","p36.32"
2351617,1,2350414,2352820,"ENSG00000269896","RP4-740C4.5","p36.32"
2363344,1,2363061,2363628,"ENSG00000272420","RP4-740C4.7","p36.32"
2398609,1,2391775,2405444,"ENSG00000157916","RER1","p36.32"
2408880,1,2403964,2413797,"ENSG00000157911","PEX10","p36.32"
2465755,1,2425980,2505530,"ENSG00000149527","PLCH2","p36.32"
2492779,1,2492300,2493258,"ENSG00000224387","RP3-395M20.2","p36.32"
2493958,1,2493437,2494479,"ENSG00000229393","RP3-395M20.3","p36.32"
2517580,1,2508533,2526628,"ENSG00000157881","PANK4","p36.32"
2529495,1,2528745,2530245,"ENSG00000197921","HES5","p36.32"
2538762,1,2530064,2547460,"ENSG00000272449","RP3-395M20.12","p36.32"
2553475,1,2549920,2557031,"ENSG00000238164","RP3-395M20.8","p36.32"
2560510,1,2555639,2565382,"ENSG00000157873","TNFRSF14","p36.32"
2568149,1,2566410,2569888,"ENSG00000225931","RP3-395M20.7","p36.32"
2583046,1,2581560,2584533,"ENSG00000228037","RP3-395M20.9","p36.32"
2588980,1,2586491,2591469,"ENSG00000157870","FAM213B","p36.32"
2611814,1,2590639,2632990,"ENSG00000142606","MMEL1","p36.32"
2634594,1,2632568,2636620,"ENSG00000237058","RP13-436F16.1","p36.32"
2718846,1,2635976,2801717,"ENSG00000215912","TTC34","p36.32"
2775038,1,2773603,2776473,"ENSG00000283259","ABC14-1188822O7.1","p36.32"
2812271,1,2811850,2812692,"ENSG00000233234","RP11-740P5.2","p36.32"
2814715,1,2814432,2814998,"ENSG00000231630","RP11-740P5.3","p36.32"
2964682,1,2960658,2968707,"ENSG00000284745","RP5-907A6.1","p36.32"
3022193,1,3021483,3022903,"ENSG00000169717","ACTRT2","p36.32"
3064026,1,3059615,3068437,"ENSG00000177133","RP1-163G9.1","p36.32"
3253894,1,3069168,3438621,"ENSG00000142611","PRDM16","p36.32"
3128005,1,3127975,3128035,"ENSG00000283572","MIR4251","p36.32"
3133318,1,3132927,3133709,"ENSG00000226286","RP1-163G9.2","p36.32"
3207326,1,3205988,3208664,"ENSG00000279839","RP11-193J6.1","p36.32"
3308366,1,3306636,3310096,"ENSG00000272235","RP11-22L13.1","p36.32"
3467769,1,3454426,3481113,"ENSG00000130762","ARHGEF16","p36.32"
3487436,1,3487246,3487627,"ENSG00000272088","RP11-168F9.2","p36.32"
3550707,1,3489920,3611495,"ENSG00000162591","MEGF6","p36.32"
3560742,1,3560695,3560790,"ENSG00000207776","MIR551A","p36.32"
3623966,1,3623190,3624743,"ENSG00000238260","RP11-46F15.2","p36.32"
3627564,1,3625002,3630127,"ENSG00000158109","TPRG1L","p36.32"
3641764,1,3630767,3652761,"ENSG00000116213","WRAP73","p36.32"
3694360,1,3652520,3736201,"ENSG00000078900","TP73","p36.32"
3663855,1,3658938,3668772,"ENSG00000227589","RP5-1092A11.5","p36.32"
3713249,1,3712200,3714298,"ENSG00000235131","RP5-1092A11.2","p36.32"
3741468,1,3735601,3747336,"ENSG00000227372","TP73-AS1","p36.32"
3737023,1,3736943,3737103,"ENSG00000276189","RF02197","p36.32"
3759052,1,3746460,3771645,"ENSG00000162592","CCDC27","p36.32"
3774371,1,3772761,3775982,"ENSG00000235169","SMIM1","p36.32"
3787531,1,3778558,3796504,"ENSG00000130764","LRRC47","p36.32"
3782963,1,3782815,3783111,"ENSG00000266075","RN7SL574P","p36.32"
3785273,1,3785008,3785538,"ENSG00000272153","RP1-286D6.5","p36.32"
3834647,1,3812081,3857214,"ENSG00000116198","CEP104","p36.32"
3871348,1,3857267,3885429,"ENSG00000169598","DFFB","p36.32"
3894709,1,3889125,3900293,"ENSG00000198912","C1orf174","p36.32"
3908798,1,3900372,3917225,"ENSG00000236423","RP13-15E13.1","p36.32"
3947913,1,3940565,3955262,"ENSG00000233304","RP13-614K11.1","p36.32"
3946763,1,3944547,3948980,"ENSG00000226374","RP13-614K11.2","p36.32"
3994416,1,3976133,4012699,"ENSG00000284668","RP11-718D19.1","p36.32"
4016214,1,4012921,4019508,"ENSG00000284703","RP11-718D19.2","p36.32"
4175713,1,4175528,4175899,"ENSG00000229280","RP11-374C13.1","p36.32"
4418358,1,4412027,4424689,"ENSG00000235054","RP5-1166F10.1","p36.32"
4481753,1,4479131,4484375,"ENSG00000284694","RP5-1166F10.2","p36.32"
4551940,1,4551735,4552145,"ENSG00000227169","RP1-37J18.1","p36.32"
4582745,1,4571481,4594009,"ENSG00000232596","RP1-37J18.2","p36.32"
4723633,1,4654732,4792534,"ENSG00000196581","AJAP1","p36.32"
4968626,1,4963954,4973298,"ENSG00000284739","RP4-603B14.2","p36.32"
4977474,1,4973381,4981568,"ENSG00000284674","RP4-603B14.1","p36.32"
5088679,1,5086459,5090899,"ENSG00000231510","RP11-542C10.1","p36.32"
5304661,1,5301928,5307394,"ENSG00000284616","RP4-703E10.1","p36.31"
5485896,1,5478736,5493057,"ENSG00000284692","RP1-58B11.2","p36.31"
5481407,1,5480787,5482028,"ENSG00000284666","RP1-58B11.3","p36.31"
5493826,1,5492978,5494674,"ENSG00000260972","RP1-58B11.1","p36.31"
5554814,1,5554747,5554881,"ENSG00000283356","RP3-491M17.1","p36.31"
5615002,1,5561709,5668295,"ENSG00000236948","RP11-154H17.1","p36.31"
5564107,1,5564071,5564143,"ENSG00000264341","MIR4417","p36.31"
5862706,1,5862672,5862741,"ENSG00000264101","MIR4689","p36.31"
5927642,1,5862811,5992473,"ENSG00000131697","NPHP4","p36.31"
6046329,1,5991466,6101193,"ENSG00000069424","KCNAB2","p36.31"
6140958,1,6101793,6180123,"ENSG00000116254","CHD5","p36.31"
6195329,1,6181269,6209389,"ENSG00000116251","RPL22","p36.31"
6205310,1,6204840,6205780,"ENSG00000226944","RP1-120G22.11","p36.31"
6213387,1,6205475,6221299,"ENSG00000158286","RNF207","p36.31"
6228582,1,6221193,6235972,"ENSG00000116237","ICMT","p36.31"
6237842,1,6236240,6239444,"ENSG00000225077","LINC00337","p36.31"
6244885,1,6244192,6245578,"ENSG00000173673","HES3","p36.31"
6254160,1,6247346,6260975,"ENSG00000158292","GPR153","p36.31"
6329330,1,6264269,6394391,"ENSG00000097021","ACOT7","p36.31"
6393973,1,6393555,6394391,"ENSG00000271746","RP1-202O8.3","p36.31"
6418544,1,6412418,6424670,"ENSG00000069812","HES2","p36.31"
6443071,1,6424776,6461367,"ENSG00000187017","ESPN","p36.31"
6429865,1,6429834,6429896,"ENSG00000265392","MIR4252","p36.31"
6445020,1,6443034,6447006,"ENSG00000231868","RP1-202O8.2","p36.31"
6463673,1,6461151,6466195,"ENSG00000215788","TNFRSF25","p36.31"
6493076,1,6466092,6520061,"ENSG00000171680","PLEKHG5","p36.31"
6537941,1,6521347,6554535,"ENSG00000162408","NOL9","p36.31"
6540909,1,6540854,6540964,"ENSG00000253022","RNU6-731P","p36.31"
6548262,1,6547905,6548619,"ENSG00000229519","RP11-58A11.2","p36.31"
6567469,1,6555181,6579757,"ENSG00000173662","TAS1R1","p36.31"
6584640,1,6580001,6589280,"ENSG00000204859","ZBTB48","p36.31"
6602665,1,6590724,6614607,"ENSG00000162413","KLHL21","p36.31"
6618859,1,6613685,6624033,"ENSG00000116273","PHF13","p36.31"
6630226,1,6624866,6635586,"ENSG00000041988","THAP3","p36.31"
6668046,1,6634168,6701924,"ENSG00000007923","DNAJC11","p36.31"
6727324,1,6724637,6730012,"ENSG00000228750","RP11-242F24.1","p36.31"
6768996,1,6767954,6770038,"ENSG00000284744","RP11-242F24.2","p36.31"
6784367,1,6783892,6784843,"ENSG00000237436","RP11-312B8.1","p36.31"
7277515,1,6785324,7769706,"ENSG00000171735","CAMTA1","p36.31"
6834475,1,6834333,6834618,"ENSG00000227950","RP11-312B8.2","p36.31"
7011327,1,7008376,7014279,"ENSG00000237365","RP11-334N17.1","p36.31"
7219442,1,7219360,7219524,"ENSG00000207056","RNU1-8P","p36.23"
7369606,1,7368942,7370270,"ENSG00000237402","RP3-453P22.1","p36.23"
7386120,1,7382487,7389754,"ENSG00000237728","RP3-453P22.2","p36.23"
7441325,1,7441096,7441554,"ENSG00000225126","RP4-549F15.1","p36.23"
7693984,1,7693124,7694844,"ENSG00000270171","RP11-338N10.1","p36.23"
7698587,1,7698303,7698872,"ENSG00000270035","RP11-338N10.2","p36.23"
7700837,1,7700704,7700970,"ENSG00000269978","RP11-338N10.3","p36.23"
7776350,1,7771269,7781432,"ENSG00000049245","VAMP3","p36.23"
7776579,1,7776383,7776775,"ENSG00000269925","RP3-467L1.6","p36.23"
7814748,1,7784320,7845177,"ENSG00000049246","PER3","p36.23"
7818792,1,7810242,7827342,"ENSG00000236266","RP3-467L1.4","p36.23"
7848297,1,7843083,7853512,"ENSG00000049247","UTS2","p36.23"
7929529,1,7915894,7943165,"ENSG00000049249","TNFRSF9","p36.23"
7942549,1,7942372,7942726,"ENSG00000270330","RP5-892F13.2","p36.23"
7969898,1,7954291,7985505,"ENSG00000116288","PARK7","p36.23"
7982932,1,7982881,7982983,"ENSG00000200344","RF00019","p36.23"
7998223,1,7991134,8005312,"ENSG00000284747","CTA-215D11.6","p36.23"
7999060,1,7998187,7999934,"ENSG00000284716","CTA-215D11.5","p36.23"
8015356,1,8004404,8026308,"ENSG00000116285","ERRFI1","p36.23"
8074720,1,8026738,8122702,"ENSG00000238290","RP11-431K24.1","p36.23"
8057854,1,8057245,8058463,"ENSG00000232848","CTA-215D11.4","p36.23"
8191297,1,8189824,8192770,"ENSG00000229305","RP11-431K24.2","p36.23"
8208819,1,8202429,8215210,"ENSG00000227634","RP11-431K24.3","p36.23"
8206515,1,8206434,8206597,"ENSG00000200975","RNU1-7P","p36.23"
8219359,1,8218190,8220529,"ENSG00000233645","RP11-431K24.4","p36.23"
8292210,1,8292157,8292263,"ENSG00000251977","RNU6-991P","p36.23"
8330996,1,8317826,8344167,"ENSG00000162426","SLC45A1","p36.23"
8585020,1,8352397,8817643,"ENSG00000142599","RERE","p36.23"
8429741,1,8424645,8434838,"ENSG00000232912","RP5-1115A15.1","p36.23"
8511857,1,8511795,8511919,"ENSG00000221083","RF00599","p36.23"
8512837,1,8512653,8513021,"ENSG00000270282","RP5-1115A15.2","p36.23"
8750758,1,8750430,8751087,"ENSG00000234619","RP4-633I8.1","p36.23"
8786562,1,8786211,8786913,"ENSG00000224315","RP4-633I8.2","p36.23"
8798990,1,8798475,8799506,"ENSG00000226545","RP4-633I8.3","p36.23"
8806455,1,8805860,8807051,"ENSG00000228423","RP4-633I8.4","p36.23"
8831191,1,8831007,8831375,"ENSG00000229716","RP11-185B14.1","p36.23"
8870125,1,8861000,8879250,"ENSG00000074800","ENO1","p36.23"
8866546,1,8866502,8866590,"ENSG00000274258","MIR6728","p36.23"
8879364,1,8878835,8879894,"ENSG00000230679","RP3-477M7.3","p36.23"
8883480,1,8883427,8883533,"ENSG00000201725","RNU6-304P","p36.23"
8893780,1,8893409,8894151,"ENSG00000238249","RP3-477M7.4","p36.23"
8907568,1,8907393,8907744,"ENSG00000232208","RP3-477M7.5","p36.23"
8909823,1,8909742,8909904,"ENSG00000232663","RP3-477M7.6","p36.23"
8960479,1,8945867,8975092,"ENSG00000131686","CA6","p36.23"
8979725,1,8979576,8979874,"ENSG00000265141","RN7SL451P","p36.23"
9014822,1,9003300,9026345,"ENSG00000197241","SLC2A7","p36.23"
9061792,1,9035107,9088478,"ENSG00000142583","SLC2A5","p36.23"
9082787,1,9082696,9082879,"ENSG00000252404","RF00424","p36.23"
9114737,1,9100305,9129170,"ENSG00000180758","GPR157","p36.22"
9173458,1,9148011,9198906,"ENSG00000228526","MIR34AHG","p36.22"
9151722,1,9151668,9151777,"ENSG00000284357","MIR34A","p36.22"
9189144,1,9182004,9196284,"ENSG00000234546","RP3-510D11.2","p36.22"
9253056,1,9234775,9271337,"ENSG00000049239","H6PD","p36.22"
9331206,1,9292880,9369532,"ENSG00000171621","SPSB1","p36.22"
9421980,1,9421098,9422862,"ENSG00000284652","CTD-2510L9.2","p36.22"
9432829,1,9425094,9440564,"ENSG00000284693","CTD-2510L9.1","p36.22"
9437723,1,9437669,9437778,"ENSG00000252956","RNA5SP40","p36.22"
9502281,1,9501092,9503471,"ENSG00000235263","RP13-392I16.1","p36.22"
9562330,1,9539482,9585179,"ENSG00000171612","SLC25A33","p36.22"
9576706,1,9576427,9576985,"ENSG00000231181","RP13-15M17.1","p36.22"
9601897,1,9588922,9614873,"ENSG00000188807","TMEM201","p36.22"
9690423,1,9651732,9729114,"ENSG00000171608","PIK3CD","p36.22"
9653598,1,9652610,9654586,"ENSG00000179840","C1orf200","p36.22"
9661727,1,9660828,9662626,"ENSG00000233268","RP11-558F24.2","p36.22"
9679990,1,9672426,9687555,"ENSG00000231789","RP11-558F24.4","p36.22"
9776776,1,9729026,9824526,"ENSG00000171603","CLSTN1","p36.22"
9781031,1,9780822,9781240,"ENSG00000271264","RP11-558F24.6","p36.22"
9827280,1,9826289,9828271,"ENSG00000280113","RP11-84A14.7","p36.22"
9879306,1,9848276,9910336,"ENSG00000178585","CTNNBIP1","p36.22"
9849236,1,9848318,9850154,"ENSG00000223989","RP11-84A14.5","p36.22"
9932760,1,9922113,9943407,"ENSG00000162441","LZIC","p36.22"
9946448,1,9942923,9949974,"ENSG00000228150","RP11-84A14.4","p36.22"
9964464,1,9943428,9985501,"ENSG00000173614","NMNAT1","p36.22"
9947477,1,9947318,9947636,"ENSG00000202415","RN7SKP269","p36.22"
9955679,1,9950572,9960787,"ENSG00000283611","RP11-84A14.6","p36.22"
9967419,1,9967381,9967458,"ENSG00000265521","MIR5697","p36.22"
9983854,1,9983141,9984568,"ENSG00000241326","RP11-807G9.2","p36.22"
10006613,1,9997206,10016020,"ENSG00000162444","RBP7","p36.22"
10107035,1,10032832,10181239,"ENSG00000130939","UBE4B","p36.22"
10054613,1,10054445,10054781,"ENSG00000224340","RP11-496H15.2","p36.22"
10059159,1,10058671,10059648,"ENSG00000233623","RP11-496H15.3","p36.22"
10163321,1,10163268,10163374,"ENSG00000201746","RNU6-828P","p36.22"
10296204,1,10210805,10381603,"ENSG00000054523","KIF1B","p36.22"
10227760,1,10227718,10227803,"ENSG00000264881","MIR1273D","p36.22"
10299019,1,10298966,10299072,"ENSG00000199562","RNU6-37P","p36.22"
10306611,1,10306465,10306757,"ENSG00000264501","RN7SL731P","p36.22"
10384528,1,10381906,10387150,"ENSG00000284735","RP4-736L20.4","p36.22"
10396424,1,10395416,10397432,"ENSG00000284642","RP4-736L20.5","p36.22"
10409368,1,10398592,10420144,"ENSG00000142657","PGD","p36.22"
10430279,1,10429881,10430677,"ENSG00000271989","RP4-736L20.3","p36.22"
10441127,1,10430102,10452153,"ENSG00000251503","APITD1-CORT","p36.22"
10436626,1,10430443,10442809,"ENSG00000175279","CENPS","p36.22"
10450810,1,10449719,10451902,"ENSG00000241563","CORT","p36.22"
10464524,1,10456522,10472526,"ENSG00000160049","DFFA","p36.22"
10458946,1,10458555,10459338,"ENSG00000203469","RP5-1113E3.3","p36.22"
10551523,1,10472288,10630758,"ENSG00000142655","PEX14","p36.22"
10616975,1,10616836,10617115,"ENSG00000243267","RN7SL614P","p36.22"
10716627,1,10636604,10796650,"ENSG00000130940","CASZ1","p36.22"
10646787,1,10639241,10654333,"ENSG00000272078","RP4-734G22.3","p36.22"
10895879,1,10895761,10895998,"ENSG00000225158","RP11-340B24.3","p36.22"
10964254,1,10946471,10982037,"ENSG00000175262","C1orf127","p36.22"
10991387,1,10990978,10991797,"ENSG00000215785","CFLP6","p36.22"
11019382,1,11012344,11026420,"ENSG00000120948","TARDBP","p36.22"
11021595,1,11012662,11030528,"ENSG00000277726","RP4-635E18.9","p36.22"
11036878,1,11026523,11047233,"ENSG00000009724","MASP2","p36.22"
11030093,1,11029659,11030528,"ENSG00000271895","RP4-635E18.8","p36.22"
11057304,1,11054584,11060024,"ENSG00000116649","SRM","p36.22"
11083249,1,11066618,11099881,"ENSG00000171824","EXOSC10","p36.22"
11070784,1,11068471,11073097,"ENSG00000226849","RP4-635E18.7","p36.22"
11100887,1,11099675,11102100,"ENSG00000230337","RP4-635E18.6","p36.22"
11184521,1,11106535,11262507,"ENSG00000198793","MTOR","p36.22"
11146717,1,11143898,11149537,"ENSG00000225602","RP11-99P18.1","p36.22"
11152401,1,11152350,11152452,"ENSG00000253086","RNU6-537P","p36.22"
11192661,1,11189341,11195981,"ENSG00000171819","ANGPTL7","p36.22"
11226307,1,11226254,11226360,"ENSG00000207451","RNU6-291P","p36.22"
